content / extracted features,babe,babes,babies,baby,back,birthday,day,ever,excited,focus,frankiejgrande,happy,heart,know,like,love,much,new,one,really,see,show,soon,sweet,thank,time,today,tomorrow,tonight,wow
No. of count,30,105,46,25,26,24,28,30,37,45,30,42,31,28,40,480,109,28,31,26,70,34,43,25,135,24,39,26,47,25
----------------------------------------
No. of clusters,8
----------------------------------------
No. of message,86
thank you paris for two amazing nights and for an amazing start to this second legggg. i love y'all so much. je t'aime paris!! xoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
@tywrent we love u / have fun in la / please send me pics from my home. i miss u so damn much.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sweden, i love you. thank you so much ðŸ’œðŸ’œðŸ’œ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
thank u so much oslo!! we love you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
@dalinaway do u even know how much i love u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7601161842204461,0.0,0.3310595961013935,0.5591269357805354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
please always remember how much i adore the absolute shit out of you guys. you make me so happy. damn. thank you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6725118981672235,0.0,0.0,0.0,0.0,0.5393540630473398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067789868353307,0.0,0.0,0.0,0.0,0.0
@brilovelife i love u ................ so much https://t.co/1BhdASGKIv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"damn y'all act fast. i see u enjoyed the tea today lmao!!! i love u so much. amsterdam, u wereâ€¦ https://t.co/RKwf935fhK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28851782051173896,0.4872780816521031,0.0,0.0,0.0,0.5417156117655834,0.0,0.0,0.0,0.0,0.0,0.6211776995015533,0.0,0.0,0.0
thru thick and thin. never forget how much i love y'all! https://t.co/0dcWyizPos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i love uuuuuuuu. and scout. so so much. #mimulove #onacloud https://t.co/CoguU633PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i love u antwerp ðŸ’œðŸ’œðŸ’œ thank u so much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
wow i love you so much @iamskot (sc: moonlightbae) https://t.co/fzQfgza0vV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326705160439735,0.551772724341786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7673399499664345
i love you kÃ¶ln. you were........ ðŸ‘¼ðŸ‘¼ðŸ‘¼ðŸ‘¼. thank you so much.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
i love @iamboyboi's little choke / laugh here so fucking much i want to scream at the top of my lungs https://t.co/9gJQAQzyT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"new ðŸŒ™. this one makes me happy af. i love these people so damn much. i'm so lucky. 

https://t.co/aO0dcrcVex",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48809624444897015,0.0,0.0,0.0,0.2317796029382821,0.3914528401938244,0.5321683148299942,0.5211543249477797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thank you â˜•ï¸â˜•ï¸â˜•ï¸â˜•ï¸ love you. feeling much better today. https://t.co/6Eo3xWAHqJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30142884115840807,0.5090835193949812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783366768684353,0.0,0.6489750746837516,0.0,0.0,0.0
the worst wigs ever (we love them.... so much) http://t.co/3q6fEzdafl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555609820860941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337553711543278,0.5636798333936863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i love u so much https://t.co/XFLVW5ekAh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so much https://t.co/vPsgkpfWhN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k last one. love u. much much more. gn. https://t.co/ISiWwouuDJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23928334719689043,0.8082518451483373,0.0,0.5380264255299742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thank you, sunrise!! I love y'all so so much. I love being home. so grateful I got to share tn with you, my so Fl babies. I was so emo. ðŸ™ŠðŸ™ˆ",0.0,0.0,0.5607789762033452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409508961957324,0.45680629795884237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42921681455704785,0.0,0.0,0.0,0.0,0.0
"thank you so much, Charlotte NC! y'all were a dreammm. sweetest babes. floating onto the bus with a heart full of gratitude. I adore youuuu.",0.0,0.45945940434693916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184937482646312,0.0,0.0,0.0,0.4645670635556444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436508857383225,0.0,0.0,0.0,0.0,0.0
miss you so much grandps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@alexaluria I miss you........... so much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"this. part. @alexaluria that little face is my favorite thing ever. I looooove you. so. much. ""kissâ€¦ https://t.co/Ke8s787w6r",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8015203833749573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597967453156492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thank you so much @wash_humane for letting us come spend the afternoon. met so many precious preciousâ€¦ https://t.co/zQ95gXTqsg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287718411717103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6847566016587173,0.0,0.0,0.0,0.0,0.0
love you Washington DC ðŸ’œðŸ’œðŸ’œ thank you so much for all your love tonight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418025728820142,0.4575254968304113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298925763625816,0.0,0.0,0.0,0.5588495008111368,0.0
most memorable show yet. I'll nevvver forget this. damn. I love y'all so so much. our bond is ridiculous. so so thankful. u. are. my. fav.â˜”ï¸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375345711167422,0.57006252859289,0.0,0.0,0.0,0.0,0.7490655023396268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philly philly! so much love tonight. thank you my babes. p.s. this signnnnnn? I. diiiiiiiedd. love y'all so so much. http://t.co/A6oewGuHBY,0.0,0.33424392171592066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002124098440968,0.675919203106077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175480379227036,0.0,0.0,0.0,0.41280443588535837,0.0
so precious. I love Ellen aka wine goddess so much. https://t.co/rOsmSTERR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Connecticut, I love y'all. thank you so much for tonight. ðŸ’œðŸ’œðŸ’œ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30676726587267106,0.5180995910857917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48680820974405326,0.0,0.0,0.0,0.6328383879250146,0.0
"yas. hope you had so much fun, babe. https://t.co/jhqDlLZzQE",0.8015203833749573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597967453156492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thank u so much, Montreal !!! you were amazing I loved watching my sc story back afterwards seeing all your faces so so so much. love u.",0.0,0.0,0.0,0.0,0.5194524203612373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22116375713573908,0.7470474518137419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350964215054828,0.0,0.0,0.0,0.0,0.0
thank you ðŸ™ˆ much love https://t.co/25mknpaSoX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
i cherish these moments so much. https://t.co/k7VmUVTtG0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o m g Manila thank u so much. what a thrilling night! I wanted to jump into the crowd squeeze all of your lil faces. mahal kita. I love u.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
"working on some stuff with @AlfredoFlores .............. we've been getting so much done on our days off, right fredo? we're really focused.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708159579012809,0.0,0.0,0.8210780366111634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jakarta babes, thank u so much!! You sang every word as louuud as you could. Y'all touched my heart tonight !!! Terima kasih! Aku Cinta Kamu",0.0,0.3996054533194347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379223328812266,0.0,0.0,0.0,0.4040477358240162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37964468282133257,0.0,0.0,0.0,0.493528507227256,0.0
"I laughed so loud. I love y'all so much. It's coming soon enough, I promise. workinnnnn my booty off to get it to u. https://t.co/0juDxLdEh4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3483573717946381,0.5883411692088295,0.0,0.0,0.0,0.0,0.0,0.7297272162461257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y'all kill me. I love you so much.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094892658256427,0.8604770119000552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegas !! y'all were amazing tonight. I love you so much. thank you for your love energy ðŸ’žðŸ’•,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418025728820142,0.4575254968304113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298925763625816,0.0,0.0,0.0,0.5588495008111368,0.0
@arigrandeftmota wow i love this so much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326705160439735,0.551772724341786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7673399499664345
I am not teasing!!! I promised y'all I would always tell you as much as I could as soon as I could ðŸ‘¼â˜•ï¸ only cause I love you like I do â˜•ï¸ðŸ’œðŸ˜‡ðŸŒ™,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978196856510667,0.2792539299638455,0.47163228616256975,0.0,0.0,0.0,0.0,0.0,0.5849716682856319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I always love these by @yigitozcakmak !! thank you so much ðŸ’œ #ScreamQueens #September22 https://t.co/gAPgqCA7pg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
but again.... thank you!!!! and I love you so much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39619480855943773,0.6691338716372638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628720554378713,0.0,0.0,0.0,0.0,0.0
Los Angeles you were amazing!!!! thank you so much. tonight was so special.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443454475121259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114689093468588,0.0,0.0,0.0,0.6648966750889631,0.0
